timestamp,mx,my,mz,multi_ranger_x_drift,multi_ranger_y_drift,multi_ranger_z_drift,multi_ranger_x_drift_exceeded,multi_ranger_x_drift_trigger,multi_ranger_y_drift_exceeded,multi_ranger_y_drift_trigger,multi_ranger_z_drift_exceeded,multi_ranger_z_drift_trigger
415810,0.31,-0.32,0.15,0.31,-0.32,0.0,1,,1,,0,
416010,0.31,-0.32,0.21,0.31,-0.32,-2.7755575615628914e-17,1,,1,,0,
416110,0.31,-0.3,0.23,0.31,-0.3,-2.7755575615628914e-17,1,,1,,0,
416510,0.26,-0.3,0.34,0.26,-0.3,0.0,1,,1,,0,
416710,0.23,-0.31,0.4,0.23,-0.31,-5.551115123125783e-17,1,,1,,0,
416810,0.23,-0.31,0.43,0.23,-0.31,-5.551115123125783e-17,1,,1,,0,
416910,0.22,-0.3,0.46,0.22,-0.3,-5.551115123125783e-17,1,,1,,0,
417010,0.22,-0.31,0.49,0.22,-0.31,0.0,1,,1,,0,
417110,0.21,-0.3,0.52,0.21,-0.3,0.0,1,,1,,0,
417210,0.2,-0.3,0.54,0.2,-0.3,0.0,1,,1,,0,
417310,0.2,-0.32,0.57,0.2,-0.32,-1.1102230246251565e-16,1,,1,,0,
417410,0.2,-0.31,0.6,0.2,-0.31,0.0,1,,1,,0,
417510,0.19,-0.3,0.62,0.19,-0.3,0.0,1,,1,,0,
417610,0.2,-0.31,0.65,0.2,-0.31,0.0,1,,1,,0,
417910,0.17,-0.32,0.73,0.17,-0.32,0.0,1,,1,,0,
418010,0.16,-0.32,0.75,0.16,-0.32,0.0,1,,1,,0,
418110,0.15,-0.31,0.78,0.15,-0.31,0.0,1,,1,,0,
418210,0.14,-0.31,0.8,0.14,-0.31,-1.1102230246251565e-16,1,,1,,0,
418310,0.15,-0.3,0.82,0.15,-0.3,0.0,1,,1,,0,
418410,0.14,-0.32,0.84,0.14,-0.32,-1.1102230246251565e-16,1,,1,,0,
418510,0.14,-0.3,0.87,0.14,-0.3,1.1102230246251565e-16,1,,1,,0,
418610,0.14,-0.31,0.88,0.14,-0.31,0.0,1,,1,,0,
418710,0.15,-0.32,0.9,0.15,-0.32,-1.1102230246251565e-16,1,,1,,0,
418810,0.16,-0.3,0.93,0.16,-0.3,1.1102230246251565e-16,1,,1,,0,
418910,0.15,-0.31,0.95,0.15,-0.31,0.0,1,,1,,0,
419110,0.15,-0.31,0.99,0.15,-0.31,1.1102230246251565e-16,1,,1,,0,
419210,0.16,-0.31,1.01,0.16,-0.31,0.0,1,,1,,0,
419310,0.16,-0.31,1.04,0.16,-0.31,0.0,1,,1,,0,
419410,0.18,-0.3,1.06,0.18,-0.3,0.0,1,,1,,0,
