timestamp,mx,my,mz,multi_ranger_x_drift,multi_ranger_y_drift,multi_ranger_z_drift,multi_ranger_x_drift_pos_exceeded,multi_ranger_x_drift_pos_trigger,multi_ranger_x_drift_neg_exceeded,multi_ranger_x_drift_neg_trigger,multi_ranger_y_drift_pos_exceeded,multi_ranger_y_drift_pos_trigger,multi_ranger_y_drift_neg_exceeded,multi_ranger_y_drift_neg_trigger,multi_ranger_z_drift_pos_exceeded,multi_ranger_z_drift_pos_trigger,multi_ranger_z_drift_neg_exceeded,multi_ranger_z_drift_neg_trigger,right,front,up,progressing_2s,min_closure_2s,progressing_5s,min_closure_5s,reached_waypoint,trigger_15,trigger_16,trigger_17
39980,-0.09,0.09,0.07,-0.09,0.09,0.0,0,,0,,0,,0,,0,,0,,2.799,3.12,3.17,,,,,,,,
40080,-0.08,0.12,0.11,-0.08,0.12,0.0,0,,0,,0,,0,,0,,0,,2.841,3.085,3.132,,,,,,,,
40180,-0.07,0.13,0.13,-0.07,0.13,0.0,0,,0,,0,,0,,0,,0,,2.823,3.081,3.112,,,,,,,,
40680,-0.07,0.12,0.17,-0.07,0.12,0.0,0,,0,,0,,0,,0,,0,,32.766,3.094,3.074,,,,,,,,
40780,-0.06,0.1,0.2,-0.06,0.1,-2.7755575615628914e-17,0,,0,,0,,0,,0,,0,,32.766,3.114,3.043,,,,,,,,
40880,-0.06,0.11,0.22,-0.06,0.11,0.0,0,,0,,0,,0,,0,,0,,2.862,3.101,3.017,,,,,,,,
40980,-0.06,0.12,0.23,-0.06,0.12,-2.7755575615628914e-17,0,,0,,0,,0,,0,,0,,32.766,3.091,3.006,,,,,,,,
41080,-0.05,0.12,0.27,-0.05,0.12,0.0,0,,0,,0,,0,,0,,0,,2.861,3.09,2.975,,,,,,,,
41280,-0.05,0.11,0.34,-0.05,0.11,0.0,0,,0,,0,,0,,0,,0,,2.868,3.097,2.904,,,,,,,,
41480,-0.04,0.12,0.39,-0.04,0.12,0.0,0,,0,,0,,0,,0,,0,,2.866,3.094,2.847,,,,,,,,
41580,-0.04,0.12,0.43,-0.04,0.12,-5.551115123125783e-17,0,,0,,0,,0,,0,,0,,2.863,3.093,2.811,,,,,,,,
41680,-0.04,0.12,0.46,-0.04,0.12,-5.551115123125783e-17,0,,0,,0,,0,,0,,0,,2.87,3.094,2.781,,,,,,,,
41780,-0.04,0.11,0.48,-0.04,0.11,0.0,0,,0,,0,,0,,0,,0,,2.865,3.096,2.757,,,,,,,,
41880,-0.04,0.12,0.5,-0.04,0.12,0.0,0,,0,,0,,0,,0,,0,,2.887,3.091,2.736,,,,,,,,
41980,-0.04,0.12,0.54,-0.04,0.12,0.0,0,,0,,0,,0,,0,,0,,2.882,3.087,2.704,,,,,,,,
42080,-0.04,0.12,0.56,-0.04,0.12,0.0,0,,0,,0,,0,,0,,0,,2.885,3.094,2.676,,,,,,,,
42180,-0.04,0.12,0.58,-0.04,0.12,1.1102230246251565e-16,0,,0,,0,,0,,0,,0,,2.887,3.093,2.657,,,,,,,,
42280,-0.05,0.13,0.61,-0.05,0.13,0.0,0,,0,,0,,0,,0,,0,,2.896,3.084,2.634,,,,,,,,
42380,-0.05,0.12,0.63,-0.05,0.12,-1.1102230246251565e-16,0,,0,,0,,0,,0,,0,,2.895,3.094,2.607,,,,,,,,
42480,-0.05,0.12,0.66,-0.05,0.12,0.0,0,,0,,0,,0,,0,,0,,2.9,3.094,2.58,,,,,,,,
42580,-0.05,0.1,0.68,-0.05,0.1,0.0,0,,0,,0,,0,,0,,0,,2.901,3.108,2.557,,,,,,,,
42680,-0.05,0.11,0.7,-0.05,0.11,1.1102230246251565e-16,0,,0,,0,,0,,0,,0,,2.908,3.097,2.536,,,,,,,,
42780,-0.04,0.1,0.72,-0.04,0.1,-1.1102230246251565e-16,0,,0,,0,,0,,0,,0,,2.905,3.109,2.517,,,,,,,,
42880,-0.04,0.11,0.75,-0.04,0.11,0.0,0,,0,,0,,0,,0,,0,,2.883,3.102,2.488,,,,,,,,
42980,-0.04,0.1,0.77,-0.04,0.1,0.0,0,,0,,0,,0,,0,,0,,2.887,3.106,2.472,,,,,,,,
43080,-0.04,0.1,0.8,-0.04,0.1,-1.1102230246251565e-16,0,,0,,0,,0,,0,,0,,2.886,3.112,2.436,,,,,,,,
43180,-0.03,0.1,0.81,-0.03,0.1,0.0,0,,0,,0,,0,,0,,0,,2.875,3.108,2.427,,,,,,,,
43280,-0.04,0.11,0.85,-0.04,0.11,0.0,0,,0,,0,,0,,0,,0,,2.875,3.102,2.391,,,,,,,,
43380,-0.04,0.11,0.87,-0.04,0.11,1.1102230246251565e-16,0,,0,,0,,0,,0,,0,,2.87,3.1,2.372,,,,,,,,
43480,-0.04,0.1,0.89,-0.04,0.1,1.1102230246251565e-16,0,,0,,0,,0,,0,,0,,2.876,3.107,2.347,,,,,,,,
43580,-0.03,0.09,0.91,-0.03,0.09,0.0,0,,0,,0,,0,,0,,0,,2.866,3.116,2.326,,,,,,,,
43680,-0.03,0.09,0.94,-0.03,0.09,0.0,0,,0,,0,,0,,0,,0,,2.861,3.124,2.304,,,,,,,,
43780,-0.03,0.09,0.95,-0.03,0.09,0.0,0,,0,,0,,0,,0,,0,,2.874,3.122,2.289,,,,,,,,
43880,-0.03,0.09,0.98,-0.03,0.09,0.0,0,,0,,0,,0,,0,,0,,2.872,3.12,2.265,,,,,,,,
43980,-0.03,0.08,0.99,-0.03,0.08,1.1102230246251565e-16,0,,0,,0,,0,,0,,0,,2.868,3.126,2.248,,,,,,,,
44080,-0.03,0.09,1.02,-0.03,0.09,0.0,0,,0,,0,,0,,0,,0,,2.88,3.119,2.219,,,,,,,,
44180,-0.02,0.08,1.04,-0.02,0.08,0.0,0,,0,,0,,0,,0,,0,,2.854,3.13,2.2,,,,,,,,
44280,-0.02,0.08,1.06,-0.02,0.08,0.0,0,,0,,0,,0,,0,,0,,2.865,3.127,2.179,,,,,,,,
44480,-0.01,0.07,1.1,-0.01,0.07,0.0,0,,0,,0,,0,,0,,0,,2.862,3.138,2.137,,,,,,,,
44580,-0.01,0.08,1.12,-0.01,0.08,0.0,0,,0,,0,,0,,0,,0,,2.835,3.131,2.117,,,,,,,,
44680,-0.01,0.08,1.14,-0.01,0.08,-2.220446049250313e-16,0,,0,,0,,0,,0,,0,,2.831,3.132,2.1,,,,,,,,
44780,-0.0,0.08,1.16,-0.0,0.08,2.220446049250313e-16,0,,0,,0,,0,,0,,0,,2.838,3.13,2.076,,,,,,,,
44880,-0.01,0.07,1.19,-0.01,0.07,0.0,0,,0,,0,,0,,0,,0,,2.822,3.139,2.051,,,,,,,,
44980,-0.0,0.07,1.21,-0.0,0.07,0.0,0,,0,,0,,0,,0,,0,,2.824,3.139,2.029,,,,,,,,
