Run,Timestamp_Init,Timestamp_Final,X-Net,Y-Net,Z-Net
1,6842459,6871259,0.004505250137299299,0.1439851239556446,0.002966260391986
2,7077456,7106256,-0.0109821404330432,0.2323168374132365,0.0010791146778502
3,13961,42761,-0.2488479695457499,0.1476019842666573,0.0033102430752478
4,153904,182704,-0.1799305132590233,0.0542284725233911,0.0023944724816829
5,526158,554958,-0.3132102098315954,0.2187641577475006,0.0014287588419393
6,769968,798768,-0.1703551616519689,0.2223958391696215,0.0021922543201071654
7,929768,958568,0.09506408777087931,0.0842115958221257,0.0034641211168491043
8,1129691,1158491,-0.1337808475363999,0.1587606383254751,0.000275082536973
9,1274541,1303341,-0.1954638060124125,0.1799771832302213,0.0015272534510586
10,1415341,1444141,-0.09202072024345401,0.139950741897337,0.0007867404492571999
11,62975,91775,-0.08632302191108461,0.156427251175046,0.0023008379939709776
12,318020,346820,-0.5410374253988265,-0.0019185657147319005,0.0030639634521776268
13,509945,538745,-0.2622343582333997,0.1489652190357447,0.00045460786714097555
14,656239,685039,-0.2714941441081465,0.049976874142885104,0.0019760736613535002
15,828197,856997,-0.0245082797482609,0.0497181853279471,0.0034432297106832
16,1014459,1043259,-0.35005041491240246,0.0593828149139881,0.0045051033084746
17,1199941,1228741,-0.28305033035576344,0.13889390969416118,0.001380236906698
18,1532443,1561243,-0.1368362320354207,0.0728636669227854,0.0020136805906076616
19,1715265,1744065,-0.3742060968652367,0.1619617359247058,0.011486771443742296
20,13068,41868,-0.061694567091763,0.0329821067862213,0.0023179140844149034
21,244243,273043,-0.0798273027176037,-0.14899638725910339,0.0031065315997694
22,388905,417705,-0.3146542357280851,0.07461852766573421,0.0046033678518143
23,606869,635669,-0.2576093068346382,-0.022862354293465698,0.0009802947024582
24,768699,797499,-0.22237865068018428,0.0530649395659565,0.0028947746905032003
25,924963,953763,-0.19288283010246238,0.11628031963482499,0.00194978858780807
26,1089488,1118287,-0.0670271767303347,0.10879307519644489,0.003334525970785733
27,1244166,1272966,-0.1043669283390045,0.1275788843631744,0.004952187417075
28,1440589,1469389,-0.0478871841914952,0.013224277645349499,0.0011619616998360001
29,1683965,1712765,-0.11587706580758089,-0.1762188975699245,0.0023990513582248
30,13214,41914,-0.2573836757801473,0.1440871675731614,0.0070496354601346
