timestamp,mx,my,mz,multi_ranger_x_drift,multi_ranger_y_drift,multi_ranger_z_drift,multi_ranger_x_drift_pos_exceeded,multi_ranger_x_drift_pos_trigger,multi_ranger_x_drift_neg_exceeded,multi_ranger_x_drift_neg_trigger,multi_ranger_y_drift_pos_exceeded,multi_ranger_y_drift_pos_trigger,multi_ranger_y_drift_neg_exceeded,multi_ranger_y_drift_neg_trigger,multi_ranger_z_drift_pos_exceeded,multi_ranger_z_drift_pos_trigger,multi_ranger_z_drift_neg_exceeded,multi_ranger_z_drift_neg_trigger,right,front,up,progressing_2s,min_closure_2s,progressing_5s,min_closure_5s,reached_waypoint,trigger_15,trigger_16,trigger_17
49963,-0.09,0.11,0.09,-0.09,0.11,-1.3877787807814457e-17,0,,0,,0,,0,,0,,0,,32.766,3.095,3.154,,,,,,,,
50563,-0.06,0.14,0.16,-0.06,0.14,2.7755575615628914e-17,0,,0,,0,,0,,0,,0,,2.848,3.07,3.077,,,,,,,,
50764,-0.06,0.13,0.18,-0.06,0.13,-2.7755575615628914e-17,0,,0,,0,,0,,0,,0,,32.766,3.078,3.057,,,,,,,,
50864,-0.06,0.14,0.21,-0.06,0.14,-2.7755575615628914e-17,0,,0,,0,,0,,0,,0,,32.766,3.068,3.029,,,,,,,,
50963,-0.06,0.14,0.24,-0.06,0.14,0.0,0,,0,,0,,0,,0,,0,,2.867,3.07,2.999,,,,,,,,
51063,-0.06,0.14,0.27,-0.06,0.14,0.0,0,,0,,0,,0,,0,,0,,32.766,3.071,2.972,,,,,,,,
51163,-0.06,0.15,0.3,-0.06,0.15,0.0,0,,0,,0,,0,,0,,0,,32.766,3.065,2.944,,,,,,,,
51263,-0.06,0.13,0.32,-0.06,0.13,5.551115123125783e-17,0,,0,,0,,0,,0,,0,,2.882,3.077,2.919,,,,,,,,
51363,-0.05,0.14,0.36,-0.05,0.14,-5.551115123125783e-17,0,,0,,0,,0,,0,,0,,2.877,3.074,2.879,,,,,,,,
51463,-0.05,0.12,0.38,-0.05,0.12,0.0,0,,0,,0,,0,,0,,0,,2.891,3.085,2.857,,,,,,,,
51563,-0.05,0.13,0.42,-0.05,0.13,-5.551115123125783e-17,0,,0,,0,,0,,0,,0,,2.875,3.079,2.823,,,,,,,,
