gps__latitude,gps__longitude,gps__height,gps__speed_x,gps__speed_y,gps__speed_z,gps__horizontal_accuracy,gps__vertical_accuracy,time
94.83248327497382,82.1663725876042,35.14299024294088,29.376206736160313,51.8738845952646,88.27198717728247,10.476711212788484,9.459997293203262,0
30.891045601006915,79.43460262667486,81.68124136346296,97.00103423529683,16.938319232257196,73.73204009646635,30.99763746785636,27.278704728401532,1
10.84978487742683,51.733626663712435,57.955842506606054,20.35448374715499,83.74634472242613,41.69743600294754,47.031162795304255,32.46661234664697,2
10.383736593603635,64.57450545989369,73.40712183316936,3.893869457120248,6.496608162025909,66.77567684637792,92.57655468714805,5.208832135319265,3
72.77728918014554,57.96459793196468,87.69754821713943,47.84300313773426,7.200593016294345,28.28760093794008,65.40486232232374,79.79561166908343,4
73.82973810162183,6.128201407758984,21.924322794750456,44.13735129808586,58.11547344919134,3.0883704923757813,23.447372624945814,14.03424246904346,5
95.16711885472273,66.63492540390321,3.2461863894098784,37.115549941125145,9.720878300060768,95.30943069825294,2.7866914256115436,26.74082109633665,6
23.67470530354406,57.64200887892536,55.33238114082374,90.65451611130564,38.65313488123753,55.009394112980644,8.719331895772921,36.10109181619473,7
35.71518616943471,56.929348850024006,2.0358331965878,17.516603192291875,39.95220444637319,48.702702776351686,43.514201853494384,24.193115565517914,8
27.124963181304537,12.617110182337491,42.77565017515332,88.75857508316665,75.29325206283801,12.05266413307007,27.072600566329772,79.96437716170604,9
72.54227113443594,43.92147926614915,38.11675153850843,50.87492375847095,83.33571353630427,59.541914851720755,55.89494639715291,67.95790886340347,10
14.15586670559084,80.8818537042716,84.34441794586525,21.430784283555877,99.3992474782814,7.56771437040016,63.437428712787835,41.63705005643283,11
0.6447316292130358,42.797655358426624,99.28105137264716,23.55333672153844,17.973513471559425,50.98792267344187,10.67859937967968,97.67348859859678,12
18.45914645493483,91.88854608503506,26.545121204558505,41.77657286849886,22.59722738926396,61.7151594089768,40.82900278496945,92.26619081041099,13
22.537385235763438,14.800429864537739,63.9713960617152,25.61647905039471,80.09990762051784,9.338670775704651,32.73803279449493,87.79459639281056,14
37.902339141450035,77.7919755419146,84.95821781468702,36.59217667476472,40.05862390722733,34.52631170444212,50.45157309617933,71.31543693231062,15
54.627398971069425,4.588496272421306,33.018372477703814,58.65385588125591,26.8274558117841,80.10940495566967,29.269462233429618,66.26835320790167,16
11.93779494333356,24.828393681817648,52.17767016853846,83.74366476525432,12.509822147628306,88.32920701346208,11.00502702576445,34.75263007364854,17
