Timestamp,X-Coordinate,Y-Coordinate,Z-Coordinate
619785,-1.205971121788025,-2.032529830932617,0.0023881567176431417
619885,-1.2063572406768799,-2.0328493118286133,0.003229753114283085
619985,-1.2008622884750366,-2.0225019454956055,0.002981322817504406
620085,-1.1927119493484497,-2.0137581825256348,0.004120387136936188
620185,-1.1870675086975098,-2.0065364837646484,0.0038579662796109915
620285,-1.182495355606079,-1.9949517250061035,0.0032775471918284893
620385,-1.1900787353515625,-1.9980158805847168,0.003913537133485079
620485,-1.1884623765945435,-1.9871773719787598,0.0032677361741662025
620585,-1.186780333518982,-1.9820815324783325,0.003494186792522669
620685,-1.1886695623397827,-1.9888972043991089,0.003970951307564974
620785,-1.1872498989105225,-1.9900771379470825,0.0038509806618094444
620885,-1.191625952720642,-1.9917963743209839,0.004794523119926453
620985,-1.1924972534179688,-1.9959818124771118,0.004107062239199877
621085,-1.1927464008331299,-1.996981143951416,0.005088597070425749
621185,-1.1947704553604126,-1.9968115091323853,0.004154879599809647
621285,-1.1996145248413086,-2.0083823204040527,0.003261744510382414
621385,-1.2003144025802612,-2.004301071166992,0.004337312187999487
621485,-1.19538414478302,-1.994438886642456,0.0033240141347050667
621585,-1.1983498334884644,-2.002213954925537,0.004266034346073866
621685,-1.20077645778656,-2.0025434494018555,0.003457155777141452
621785,-1.1959617137908936,-1.996989369392395,0.0032371548004448414
621885,-1.1967278718948364,-1.9978021383285522,0.0030355777125805616
621985,-1.1971352100372314,-1.9989382028579712,0.004889821633696556
622085,-1.197335958480835,-1.9846370220184326,0.004143758676946163
622185,-1.1971970796585083,-1.9842274188995361,0.005030419677495956
622285,-1.1960489749908447,-1.9842913150787354,0.005102572962641716
622385,-1.1940991878509521,-1.9920934438705444,0.004475628491491079
622485,-1.1923452615737915,-1.9863289594650269,0.00352705386467278
622585,-1.1955457925796509,-1.9807939529418945,0.0037200371734797955
622685,-1.196919560432434,-1.9850047826766968,0.0034984818194061518
622785,-1.1952242851257324,-1.9887466430664062,0.003685919102281332
622885,-1.200034737586975,-1.9865398406982422,0.004949990194290876
622985,-1.1985875368118286,-1.984999656677246,0.004273020662367344
623085,-1.1995244026184082,-1.9832916259765625,0.004752027336508036
623185,-1.1940048933029175,-1.9818336963653564,0.004844104405492544
623285,-1.190701961517334,-1.976671576499939,0.0039031803607940674
623385,-1.1879433393478394,-1.9684524536132812,0.003370036603882909
623485,-1.186149001121521,-1.961594820022583,0.0032926290296018124
623585,-1.184098482131958,-1.9661836624145508,0.004947155714035034
623685,-1.1829116344451904,-1.968733549118042,0.004219808615744114
623785,-1.1840976476669312,-1.9651384353637695,0.00429693516343832
623885,-1.1966164112091064,-1.9739012718200684,0.003672180697321892
623985,-1.1976605653762817,-1.9800204038619995,0.005296946037560701
624085,-1.1998870372772217,-1.9830800294876099,0.004897891078144312
624185,-1.205538272857666,-1.992264747619629,0.005189189221709967
